# audio_filename<TAB>reference transcript. Record per README.md, save as NN.wav
01.wav	bhai ye assignment ka deadline kal aahe and I haven't even started yet
02.wav	mala vatat this approach wrong aahe model la context samajla pahije
03.wav	arey nako yaar genuinely boltoy valorant khelaycha nahi aaj
04.wav	can you open our thing the local AI project wala folder
05.wav	raat ko late tak code karta hoon that's when I focus best
06.wav	coffee smooth medium roast havi dark roast is too bitter for me
07.wav	wait actually this could work ek second thamb
08.wav	instagram scroll karat basu nako assignment complete kar pehle
09.wav	bhai mouse ka problem hai that's why I bottom-fragged seriously
10.wav	weekend la Rohan yenar aahe we'll game together the whole night
